28.7301 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
28.7308 	INFO 	Loaded monitor calibration from ['2024_04_19 18:43']
29.5451 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EE9E08D1C0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EE9E08D160>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EE9E088F70>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EE9E471D30>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
29.5454 	EXP 	window1: mouseVisible = True
29.5454 	EXP 	window1: backgroundImage = ''
29.5455 	EXP 	window1: backgroundFit = 'none'
29.5458 	EXP 	window1: mouseVisible = True
29.5460 	EXP 	window1: mouseVisible = True
29.5474 	EXP 	window1: mouseVisible = True
29.5481 	EXP 	window1: mouseVisible = True
29.5600 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5611 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5622 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5639 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5658 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5667 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5678 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5691 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5701 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5713 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5726 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5737 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5747 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5758 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5770 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5783 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5794 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5807 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5817 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5830 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5840 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.5843 	DEBUG 	Uploading Texture Font fontname to graphics card
29.5891 	DEBUG 	Upload of Texture Font fontname complete
29.5907 	EXP 	window1: mouseVisible = True
29.5913 	EXP 	window1: mouseVisible = True
29.5926 	EXP 	window1: mouseVisible = True
29.5932 	EXP 	window1: mouseVisible = True
29.6037 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.6058 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.6077 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.6081 	DEBUG 	Uploading Texture Font fontname to graphics card
29.6096 	DEBUG 	Upload of Texture Font fontname complete
29.6119 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
29.6119 	EXP 	window1: recordFrameIntervals = False
29.6971 	EXP 	window1: recordFrameIntervals = True
29.8012 	EXP 	Screen (0) actual frame rate measured at 143.29Hz
29.8013 	EXP 	window1: recordFrameIntervals = False
29.8014 	EXP 	window1: mouseVisible = False
29.8018 	EXP 	window1: mouseVisible = True
29.8020 	EXP 	window1: mouseVisible = True
29.8026 	EXP 	window1: mouseVisible = True
29.8032 	EXP 	window1: mouseVisible = True
29.8155 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.8165 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
29.8177 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
